biased_text,dimension,biased_words,aspect,label,Done (x),debiased_text,comments,text_length
"`` So my message to them ( the White House ) is discipline , credibility with the American people , with Congress and with allies overseas . Let 's get to work . '' -Dan Sullivan Whether the Trumpster finds some discipline , which is highly unlikely , or he does n't , there 's nothing he can say or do at this point that will repair his credibility with well over half of all Americans , and our allies both to the north , and south of us , and overseas . The rest of America could n't recognize that the Trumpster was nothing more than a bullshiter during his campaign , and they ca n't recognize his staggering incompetence now , partly because to recognize it would be to admit they were taken by nothing more than a flimflam man .",toxicity,"['flimflam', 'unlikely', 'incompetence']",Political,Highly Biased,x,"So my message to them (the White House) is to prioritize discipline and credibility with the American people, Congress, and our international allies. Let's focus on getting to work. The Trump administration may face challenges in gaining credibility with a significant portion of the American population and allies. Some individuals did not recognize potential issues during Trump's campaign and may find it difficult to acknowledge any perceived incompetence now. Perhaps it is because acknowledging his incompetence would mean admitting  they were wrong",,735.0
"`` some Conservatives believing the best way to counter a celebrity Prime Minister is with a celebrity of their own `` . Yup , the CPC membership hates Trudeau because they think he won ONLY because people knew his name . So they 're dumb enough to want the thing they hate . Weird but that 's hard-line CPC members .",toxicity,"['hard-line', 'hate', 'weird', 'dumb']",Political,Highly Biased,x,"Some conservatives believe that countering a celebrity Prime Minister requires having a celebrity candidate of their own. Some members of the Conservative Party of Canada dislike Trudeau because they believe he won solely because of name recognition. Therefore, they ironically desire a similar situation, which may seem peculiar, but it is an attitude held by hardline CPC members.",,317.0
"The bishops need to PERSONALLY walk the halls of congress , confront the legislators face-to-face and tell them how morally wrong it is to enact policies that lead to the premature deaths and/or bankruptcy of the citizenry . The bishops need to do this in groups of two or three day after day . And they need to invite clergy of other denominations and faiths to join them . Position papers , press releases , and committee meetings are not going to do the job . The bishops need to lead by continuous overt , show-up , make-the-news-cycle actions on the legislators ' own turf .",toxicity,"['confront', 'bankruptcy']",Political,Slightly Biased,x,"The bishops should consider engaging in direct, personal conversations with legislators in order to express their moral concerns about policies that may result in harm or financial hardship for the people. It would be effective for the bishops to form small groups and meet with legislators regularly. It is also recommended for them to collaborate with clergy from different religious backgrounds. Taking impactful actions, such as meeting face-to-face, will have a greater impact than relying solely on position papers, press releases, and committee meetings. The bishops should lead by example by consistently participating in high-profile activities in the lawmakers' environment.",,579.0
What will happen when Donny is in prison ? The birth defected Trumpers will have no one to think for them or get them all fired up to go out and terrorize minorities . Poor stupid Trumpers poor poor stupid Trumpers,toxicity,"['terrorize', 'stupid']",Criminal record discrimination,Slightly Biased,x,What will happen when Donny is incarcerated? The dedicated Trump supporters will not have a prominent figure to rally behind or incite them to target marginalized communities. It is unfortunate for them.,,214.0
Cardinal Burke needs to retire to a quiet corner !,toxicity,['burke'],Framing,Slightly Biased,x,Cardinal Burke should consider retiring to a more peaceful environment.,,50.0
"@ ScarletCorset awww , how can we talk smack abt TB if you have no computer We need to coordinate comp time A-team style",ageism,['smack'],Professional,Slightly Biased,x,How can we talk poorly about TB if you don't own a computer. We need to coordinate our computer time more efficiently.,,120.0
Man i 'm tired . Made some apple crisp from scratch ...... Man it tastes gooooood,ageism,['scratch'],,Slightly Biased,x,I am tired. I made some apple crisp from scratch... It tastes delicious.,,81.0
I think its funny that I can be sooo sarcastic with my nephew & amp ; he wo n't get it too funny !,ageism,['sarcastic'],Hate speech,Slightly Biased,x,I find it interesting that I can use sarcasm with my nephew and he won't understand it.,,98.0
"The piece about the Catholic Bishop being on the phone line when the legislative discussions on extending the timeline for filing sex abuse claims resonates in Hawaii - ( my experience was in 2002 the Hawaii Diocese sent a letter to Hawaii Senators who supported Death with Dignity - carried by a Deacon for friendly visits to legislators , decrying that this legislation would be the end of Hawaii , effectively destroying out institutions etc. ) . ..... maybe now people will apply a more jaundiced view of their opinions ? Of course the Church applied their power during the Hawaii discussion of extending the statute of limitations for filing sex abuse cases in Hawaii , their bottom line was being affected .",toxicity,"['phone sex', 'abuse', 'decrying', 'jaundiced']",Religious,Highly Biased,x,"The situation where the Catholic Bishop was involved in the legislative discussions regarding the extension of the timeline for filing sex abuse claims is reminiscent of an experience I had in 2002. The Hawaii Diocese sent a letter to Hawaii Senators who supported Death with Dignity, delivered by a Deacon who visited legislators to express their opposition. They claimed that this legislation would have detrimental effects on Hawaii, potentially leading to the destruction of our institutions. Perhaps now people will consider their opinions with a more critical eye? It is important to note that the Church exerted its influence during the discussion in Hawaii about extending the statute of limitations for filing sex abuse cases, as it directly affected their interests.",,713.0
btw i hate ants .. i dont have anything they want so couldnt they just leave me alone ?,ageism,['hate'],Homophobia,Slightly Biased,x,"By the way, I strongly dislike ants. It confuses me why they are persistent in bothering me even though I have nothing they desire. Could they possibly just refrain from bothering me?",,87.0
"``   Your first RETF newsletter , delivered by hand   RegExTypoFix is now completely built into AutoWikiBrowser Yes , that 's right . My little project has now been integrated into Wikipedia 's most famous utility . This expands my reach to around ~250 active users ! * But mboverload , what does this mean ? - It means that Wikipedia is going to suck less ! Yay ! * What do I do ? - Download the latest version of AWB and go to More Options > Enable RegExTypoFix . Then go to then in the Start tab > Summary dropdown box select RegExTypoFix * What happened to including your name in it ? How am I going to praise you with every edit ? You mean `` '' mboverload 's RegExTypoFix '' '' ? Oh , just stick it in there , and complain on the AWB",toxicity,"['suck', 'complain']",News Media,Slightly Biased,x,"Your first RETF newsletter, delivered by hand, RegExTypoFix is now fully integrated into AutoWikiBrowser. Yes, that's right. My project is now part of Wikipedia's popular utility. This expands my reach to approximately 250 active users! What does this mean? It means that Wikipedia's quality will improve. Hooray! What should you do? Download the latest version of AWB and enable RegExTypoFix in the ""More Options"" section. Then, in the ""Start"" tab, select RegExTypoFix from the Summary dropdown box. What happened to including your name in it? How will I acknowledge you with every edit? You can refer to it as ""mboverload's RegExTypoFix"". If you have any complaints or issues, please communicate them via AWB.",,739.0
"`` : : : : : : : Heh . You 've got nothing compared to yer . - ) If you work hard , and continue to insist that the encyclopedia is more important than the encyclopedia 's politics , you 'll get there someday .... god . I ca n't believe I 'm giving That Admin that Is Not to be Named a diff . He 's convinced that I 've made you worse , convinced that I , and others , are the reason you 've been blocked . If I were in your timezone , I 'd spit. ``",toxicity,['insist'],,Slightly Biased,x,"If you work hard and prioritize the importance of the encyclopedia over its politics, you'll eventually succeed. It's disappointing that I have to differentiate myself from a certain administrator who thinks I've caused harm to you and others resulting in your blocking. If I were in your time zone, I would express my frustration.",,449.0
Michael Jackson 's Numbers Need To Be Updated To 750+ Million The edit to his sales should be changed back to 750+ Million as we sort this mess out and come to a consensus . There is no consensus agreeing to have his sales downgraded . So reverting back to his 750 Million total seems fair . Not going back to his original figure as we come to a consensus would show a clear bias in the editors here .,toxicity,['mess'],Music preference,Slightly Biased,x,"Michael Jackson's sales figures need to be updated to 750+ Million. The revision to his sales should be reverted back to 750+ Million while we resolve this matter and reach a consensus. There is no consensus supporting the downgrading of his sales. Therefore, it would be fair to return to his 750 Million total. Failing to return to this figure without consensus would demonstrate bias among the editors involved.",,401.0
"As long as the US has a seven year old as its President , nobody gives a damn what they think anymore . They are a pathetic joke and going downhill fast . It 's time to deal with the upcoming superpowers who matter .",toxicity,"['damn', 'downhill', 'pathetic']",Ageism,Highly Biased,x,I believe there is dwindling public trust in the current President. The United States optinion globally might also be affected. It is now necessary to focus on engaging with influential emerging superpowers.,,216.0
I got that nasty cold that 's going around . I need to stop working my tush off . I wracked up so much ot it 's not even funny .,ageism,"['so funny', 'nasty']",Body-shaming,Slightly Biased,x,"I caught the common cold that is circulating. I need to take a break from overworking myself. I accumulated a significant amount of overtime, which is quite overwhelming.",,128.0
"Come on Resposible , NADDAWAY does n't even realise that Chretien put Canadian troops in Afghanistan and that Martin put them in Kandahar . Nor does he realize that Canadian troops were in Iraq embedded in US forces ( again , Chretien ) . He has no facts and no rationale , just a lot of mindless insults .",toxicity,"['insults', 'mindless']",Perspective,Slightly Biased,x,"Come on, it is important to note that NADDAWAY may not be aware of the fact that Canadian troops were deployed in Afghanistan by Chretien and later in Kandahar by Martin. Additionally, Canadian troops were also embedded in US forces in Iraq under Chretien's leadership. It is more productive to focus on presenting factual information rather than resorting to inappropriate remarks.",,306.0
"> Voters across the nation have been voting for a mandate to reduce the size , scope and power of government and enact spending reductions and debt moderation . Narrow victories with low turn out after years of disenfranchising minority voters do not a mandate make .",toxicity,['minority'],Political,Slightly Biased,x,"Voters across the nation have been expressing their desire to reduce the size, scope, and power of government, as well as implementing spending reductions and debt moderation. However, it is important to note that narrow victories with low voter turnout cannot be considered a strong mandate, especially after years of disenfranchisement experienced by minority voters.",,267.0
"Everybody knows what Trump is , even his own children but they 've got hundreds of millions in inheritance to consider so allowing his hands to rove around the hips and haunches area I guess must be tolerated . No , Trump bragging about deliberately walking in on the teenage girls involved in his pageants in various states undress , bragging about his habit of sexually assaulting women , no these kinds of things wo n't be going away . As for right-wing Christians , not Christians -- there 's a difference , overwhelming support for a candidate who openly admits to such attitudes and actions , well let 's just say I have always been a fan of irony . That you state that such claims that anyone can easily find proof to back up bearing no semblance to reality is merely an instance of convenient amnesia .",toxicity,"['sexually', 'irony', 'merely']",Religious,Highly Biased,x," Everybody is aware of Trump's actions, even his own children. However, their financial considerations might affect their opinions on his behavior. It is important to address the allegations of Trump's inappropriate conduct towards women, but claiming support for such behavior by right-wing Christians is an ironic situation. Claims that deny the existence of evidence regarding Trump's actions are simply disregarding the truth.",,810.0
"Too often these days , diversity implies an anti-white racism . Too often these days , the latent intellectual capital of our students are sidetracked by brainwashing with ideas that at best detract from pursuit of knowledge and at worst , inculcate a view of the world that is far from objective . Its unfortunate , because we are turning out students that are woefully incapable of dealing with hard reality . We saw a similar student eruption in the 1960s and 70s . These students are now the conservative establishment",toxicity,"['brainwashing', 'racism', 'detract', 'woefully', 'inculcate', 'anti-white', 'incapable', 'sidetracked', 'worst']",Stereotype,Highly Biased,x,"In today's context, diversity is sometimes associated with anti-white racism. Additionally, our students' intellectual potential is being diverted by ideas that can hinder their pursuit of knowledge and lead to a biased view of the world. This is unfortunate because it results in students who struggle to cope with harsh realities. Similar student uprisings were witnessed in the 1960s and 70s, and many of those students are now part of the conservative establishment.",,522.0
"I would guess that Trump is a narcisist with evil staff with as deep delusions of grandeur . Jackson ’ s actions paying back the debt led to a panic , both because they reduced the public sector and gave liquidity to the wealthy , who had no where to spend it but speculation . We will have no such problem should Trump get his tax cuts passed . The rich will buy these instruments and spend less on foolishness . The CIA speech shows that Trump and his staff have no idea what they are doing , and when Trump is intellectually lost , Trump babbles . Why he fixated on a losing argument on crowd size is inconceivable , except that Presidents talk about domestic issues at foreign leader press conferences all the time . The problem is that his staff enables him , repeating his lies ,",toxicity,"['foolishness', 'delusions', 'all lies', 'inconceivable', 'evil', 'get lost']",Political,Highly Biased,x,"I dont have very good things to say about Trump and his staff. Jackson's actions, aimed at repaying the debt, caused a panic due to the reduction in the public sector and the increased liquidity available to the wealthy, resulting in speculative spending. If Trump's tax cuts are passed, we don't anticipate facing a similar issue. The wealthy will invest in these instruments and allocate less towards unnecessary expenditures. The recent CIA speech highlights the lack of competence and understanding of Trump and his staff, and when he is intellectually challenged, he tends to ramble. It is perplexing why he focused on an unproductive argument regarding crowd size, especially considering that Presidents often discuss domestic issues during press conferences with foreign leaders. The problem lies in his staff enabling him and perpetuating his falsehoods.",is this debaised ?,785.0
"Almost every single one of them are . Here , I 'll try again , read slowly this time . ... all those who may have worked a swing shift and take their free time at hours that do n't fit your bias . The time of day or night one chooses is not dependent on some arbitrary schedule only you approve . The wider population is n't constrained by your preferences , sometimes they take the time that 's available to them . If that 's 3am , it 's not your place to attempt to dismiss them .",toxicity,['dependent'],Socioeconomic discrimination,Slightly Biased,x,"Almost every person has different schedules and preferences. It is important to respect the choices of others and not dismiss them based on your own biases or preferences. The wider population has the freedom to choose the time that is available to them, which may include unconventional hours like 3am.",,482.0
Nobody does serious subjects better than Comedy Central ! Why right now they 've got Danial Tosh on highlighting the obesity pandemic by making fun of people in internet clips !,toxicity,['obesity'],News Media,Slightly Biased,x,"Comedy Central is known for effectively addressing serious subjects. Currently, they have Danial Tosh on their show, who brings attention to the issue of obesity by humorously commenting on internet clips.",,177.0
Everyone should visit these links for more information on specific details of the vector and the parasite : http : //pharmacy.uhh.hawaii.edu/rlw/overview.php ( also see right menu for more info ) http : //pharmacy.uhh.hawaii.edu/rlw/faq.php http : //pharmacy.uhh.hawaii.edu/…/docu…/RLWDRiskReduction.doc http : //health.hawaii.gov/…/disease_listing/rat-lungworm-an…/,toxicity,['parasite'],Health-related,Slightly Biased,x,"Here are some recommended sources to learn more about the vector and the parasite:

- Visit this link for an overview: [http://pharmacy.uhh.hawaii.edu/rlw/overview.php](http://pharmacy.uhh.hawaii.edu/rlw/overview.php)
- For additional information, check the right menu on the page.
- Explore the FAQ section for answers to common questions: [http://pharmacy.uhh.hawaii.edu/rlw/faq.php](http://pharmacy.uhh.hawaii.edu/rlw/faq.php)
- Access the document on risk reduction: [http://pharmacy.uhh.hawaii.edu/…/docu…/RLWDRiskReduction.doc](http://pharmacy.uhh.hawaii.edu/…/docu…/RLWDRiskReduction.doc)
- The Hawaii Department of Health's website also provides information on rat lungworm disease: [http://health.hawaii.gov/…/disease_listing/rat-lungworm-an…/](http://health.hawaii.gov/…/disease_listing/rat-lungworm-an…/)",,366.0
"The article said that part of the reason is sanitation . Too many people let their dogs crap anywhere and do n't clean up after them . Everyone wants to believe their dogs are the best , but they all are not . They do n't all do well in crowds . They do n't all ignore runners . Some things just do n't need to have our dogs at . Seward has to look out for their own well being too - clean up costs for dog crap , not to mention when it gets stepped in and tracked into businesses . If someone , or a pet , gets hurt because of a loose dog , who 's going to be held accountable ? We 'd like to say the owner , but that 's not how it usually goes . This is not just a regular summer",toxicity,"['crap', 'ignore']",Socioeconomic discrimination,Slightly Biased,x,"The article mentioned that one reason is sanitation. Some dog owners do not clean up after their dogs, which leads to issues. While people may think their dogs are well-behaved, not all dogs do well in crowded spaces or ignore runners. There are certain places where it is not necessary to bring our dogs. Seward should also consider the cost of cleaning up dog waste and the impact it has on businesses when it is tracked inside. If someone, including pets, gets injured because of a loose dog, it is important to hold the owner accountable. This is not just a regular summer.",,681.0
To change the tax regime would mean massive loss of revenue to municipalities which would mean that 100K a year garbage collector would be laid off . Over the last 2 decades public sector wages and benefits have exploded . Politicians have to keep development going . If housing fails the entire structure of public sector entitlements is destroyed . For 80 years public sector wages were less than the private sector . It was because of the gold plated entitlements they received . Over the last 2 decades the collusion in the management levels of govt have created this mess where each group Ok 'd increases for each other . Now there is not enough tax revenue to pay for this pigfest . When real estate levels and drops into its cycle lows int eh next 5 years there will be a crisis . The piggy bank is bare,toxicity,"['destroyed', 'collusion', 'mess']",Climate change,Highly Biased,x,"Changing the tax regime could have significant financial consequences for municipalities, potentially leading to job cuts for certain positions such as garbage collectors. Over the past two decades, there has been significant growth in public sector wages and benefits. It is important for politicians to support ongoing development to ensure the stability of public sector entitlements. Historically, public sector wages were lower than those in the private sector, due to the generous benefits they received. However, in recent years, there has been a collusion among government management levels, resulting in unsustainable increases for various groups. As a result, there is now a shortage of tax revenue to sustain these inflated expenses. It is anticipated that a crisis may occur in the next five years when real estate values decline, further impacting the financial situation.",,810.0
Childish - that 's what I get for trying to do this on a small IPhone . Sorry,toxicity,['childish'],Ageism,Slightly Biased,x,Sorry for the mistake - that's what I get for attempting to do this on a small iPhone.,,77.0
"Your attitude is the type of civil unrest that your Republican majority is counting on , Winkler . Instead of blaming the unions , blame your Republican majority for shackling property owners or the citizenry with their school funding responsibility . Demand all you want . Your Republican majority can give and taketh away . I suspect a sales tax will be coming down the pike across all municipalities . Just so that the Republican majority can keep giving Big Oil it 's $ 700 million in tax credits when they 're not even looking for more oil or drilling .",toxicity,"['unrest', 'suspect']",Political,Slightly Biased,x,"Your perspective is the type of disagreement that your Republican majority is relying on, Winkler. Instead of attributing the responsibility to the unions, consider holding your Republican majority accountable for burdening property owners or the citizens with the responsibility of funding schools. Express your concerns, but keep in mind that your Republican majority has the power to take action as well. It is possible that a sales tax may be introduced in various municipalities, solely to ensure that the Republican majority can continue providing $700 million in tax credits to Big Oil, even when they are not actively pursuing more oil or drilling.",,558.0
"OK , what makes it worth that much money is that there are people who are willing to pay for it . This is called free enterprise . This is just one of the many examples of the free enterprise system producing stupid results ( think about how lucrative professional sports are ) . Really , being shocked about this is ridiculous . It 's the economic system we choose to live in and , as with any complex system , you 've got to take the bad with the good . See Captain Renaud 's shock at finding that Rick 's American Cafe has gambling going on . Remember , the salaries of columnists are originating in the same way , in the same system .",toxicity,"['stupid', 'ridiculous']",Socioeconomic discrimination,Slightly Biased,x,"OK, the reason it is valued so highly is because there are individuals willing to pay for it. This is known as free enterprise. This is just one instance of the free enterprise system producing questionable outcomes (consider the profitability of professional sports). Honestly, being surprised about this is unreasonable. It is the economic system we have chosen to embrace and, as with any intricate system, there are both positive and negative aspects. Think about Captain Renaud's reaction upon discovering that Rick's American Cafe has gambling. Remember, columnist salaries are generated in the same manner, within the same system.",,638.0
"TaviYamato wrote on my Youtube page on 21.9.2010 TaviYamato ( hace 1 día ) ( Pendiente de aprobación ) Aprobar | Suprimir | Bloquear usuario | Spam Marcado como spam shut the fuck up with your comments on wikipedia , leave my articles alone and STFU stay out of﻿ wikipedia and write only about your country : : :",toxicity,['fuck'],News Media,Slightly Biased,x,TaviYamato wrote on my Youtube page on 21.9.2010 TaviYamato ( 1 day ago ) ( Pending approval ) Approve | Delete | Block user | Marked as spam Please refrain from posting negative comments on Wikipedia. It would be appreciated if you could focus on your own articles and refrain from engaging in unnecessary arguments. Thank you.,,312.0
I believe you 're confusing me with someone else .,toxicity,['confusing'],Confirmation,Slightly Biased,x,I think you may be mistaking me for someone else.,,50.0
"It really should not bother you to be called a troll . 1 . Consider the source , a full-time disparager of the Catholic Church , communicant of a Protestant sect , and member of a clique who wants a “ Block Function ” . 2 . Consider the provocation , disagreeing . If you operate without a thick hide you ’ re going to stay desolate since approval is never going to be forthcoming . As they say , just pay it no nevermind .",toxicity,"['bother', 'disagreeing', 'provocation', 'desolate', 'clique', 'troll']",Transphobia,Highly Biased,x,"It shouldn't concern you to be called a troll. Take into account the person making the comment, who consistently criticizes the Catholic Church, follows a different Protestant faith, and belongs to a group that desires a ""Block Function"". Also, think about the reason for the comment, which is simply disagreement. If you don't let it bother you, you won't feel lonely since approval will never come. Just ignore it.",,423.0
"Your statement was `` By any measure , Baum was a secret and then open enemy of the Catholic Church and , in my book , that makes him an enemy of the faith and an enemy of Christ . '' I was pointing out that this is only true by one specific measure -- yours . By other measures , he was not . Sure , you can give your views . Just do n't pretend that they are everyone else 's views as well .",toxicity,['pretend'],Religious,Slightly Biased,x,"Your statement was, ""By any measure, Baum was a secret and then open enemy of the Catholic Church and, in my book, that makes him an enemy of the faith and an enemy of Christ."" I was pointing out that this is only true by one specific measure - yours. By other measures, he was not. Sure, you can express your views, just don't imply that they are universally held.",,393.0
"`` Maybe we ought to take a hard look at Pioneer Homes '' You are aware that care is not free to residents ? The avg age of Pioneer residents is 85+ , so applying the `` individual personal responsibility '' tag to them now is , ... well , it 's just not going to happen unless you 're OK with literally dumping them in the street . I have no problem paying taxes to help support the elderly ; most of them helped pay for the public education , among many tax-funded benefits , I enjoyed growing up . I hope you 've since reconsidered your musing , because it comes across as rather callous . `` Do unto others as .... '' might be a better spirit to abide .",toxicity,"['callous', 'dumping']",Ageism,Slightly Biased,x,"Maybe we should carefully consider Pioneer Homes. We should be aware that residents do not receive free care. The average age of Pioneer residents is 85+, so labeling them with the ""individual personal responsibility"" now is unlikely unless you are okay with abandoning them. I don't mind paying taxes to support the elderly; they have contributed to many tax-funded benefits, including public education, which I benefited from growing up. I hope you have reconsidered your thoughts because it seems insensitive. Following the principle of ""do unto others as..."", might be a more compassionate approach.",,657.0
`` do not assert the notability of their subjects and have been reverted or removed . { | align  '' '' center '' '' class  '' '' notice noprint '' '' style  '' '' background : none ; border : 1px solid # aaa ; padding : 0.5em ; margin : 0.5em auto ; '' '' |- | valign  '' '' top '' '' style  '' '' padding : 0.1em '' '' | | style  '' '' padding : 0.1em '' '' | Your request to be unblocked has been granted for the following reason ( s ) : Autoblock of lifted or expired . Request handled by : | } '',toxicity,['assert'],Ableism,Slightly Biased,x,TOREMOVE,,500.0
i hate how everything my dad says links to college . pushes me but stresses me . maybe im thinking way to much .,ageism,['hate'],,Slightly Biased,x,"I strongly dislike how everything my dad says relates to college. It motivates me, but it also causes a lot of stress. Maybe I'm overthinking things.",,112.0
@ jamieerinw I 'm a horrible person and still have n't posted your letter,ageism,['horrible'],Confirmation,Slightly Biased,x,"I apologize for the delay in posting your letter, @jamieerinw.",,73.0
Y am I so nervous ? I feel sick,ageism,['nervous'],Health-related,Slightly Biased,x,Y am I feeling so anxious? I feel unwell.,,31.0
"I just love these arbitration panels . If my memory serves me correctly , no arbitration panel has ever decided for the State i.e . the taxpayers . Yes , government employees do pay taxes but government employees are not the majority . President Franklin Delano Roosevelt is on the record to have said that government employees should never be allowed to unionize and have the right to strike and collective bargaining because it would put the government to an unfair advantage . He was right . It 's no surprise that the unions want to overturn the U.S. Supreme Court 's decision on Citizens United . If you do not know what Citizens United is about , then it is time you make an effort to educate yourself .",toxicity,"['strike', 'unfair', 'overturn']",Gender discrimination,Highly Biased,x,"I appreciate the effectiveness of arbitration panels. Historically, these panels have tended to favor non-government entities rather than the State or taxpayers. While it's important to acknowledge that government employees also contribute to taxes, they do not represent the majority. President Franklin Delano Roosevelt once expressed the concern that allowing government employees to unionize and have the right to strike and collective bargaining could potentially give the government an unfair advantage. This argument holds some validity. It is not unexpected that unions would seek to challenge the U.S. Supreme Court's ruling on Citizens United. If you are unfamiliar with the details of the Citizens United case, I encourage you to take the initiative to educate yourself on the matter.",,709.0
Surprisingly I 'm not that tired this morning . I had a great time last night ! Off to work again,ageism,['surprisingly'],Hobby,Slightly Biased,x,I'm feeling quite refreshed this morning. I had a wonderful evening! Time to head off to work once again.,,97.0
"I have camped in the Na Pali valley . Unfortunately the DLNR is not controlling feral cats there . The cats prey on NeNe , especially the chicks . These people are not homeless . In talking to some of the squaters not one was from Hawaii . They have sufficient resources to own kayaks and pizza ovens . And purchase plane tickets from the mainland to kauai . Keeping NaPali a wilderness area is very much part of He DLNR mandate . Why have a permitting system that limits human impact to a wilderness and not enforce it ? The arested will have names and ia public record . Check it out .",toxicity,"['limits', 'homeless']",Geographical,Slightly Biased,x,"I have visited the Na Pali valley and unfortunately, the DLNR is not effectively managing the issue of feral cats there. These cats pose a threat to the NeNe, particularly the chicks. Interestingly, the individuals camping in the area are not locals but have enough resources to own kayaks, pizza ovens, and even purchase plane tickets from the mainland to Kauai. It is important for the DLNR to fulfill their mandate of preserving NaPali as a wilderness area. It raises the question of why there is a permitting system in place to limit human impact if it is not being enforced. The individuals who have been arrested will have their names documented and it is a matter of public record. I encourage you to verify this information independently.",,587.0
"Vulkovich makes some very good points . Those that are convicted of having sexual relations with kids , get extremely weak sentences . Let 's examine David Schwantes sick actions . Schwantes was a elementary school teacher who made boys touch his private parts . Schwantes actually groomed the boys . Schwantes worked on a highly manipulative level . Child molesters have to be highly manipulative because they know what their doing is wrong . And if your doing sick sexual stuff to children in the elementary school you work in , well you improve up , so to speak , your manipulative behaviors . David Schwantes was convicted of sexually abusing two children . Well there are two that came forward . Schwantes got a 2 yearsentence . And he got to keep his retirement . Schwantes was sentenced a year ago . Schwantes should rot in jail ,",toxicity,"['you are sick', 'sexually', 'manipulative', 'so weak', 'rot']",Criminal record discrimination,Highly Biased,x,"Vulkovich presents some compelling arguments. It is concerning that individuals convicted of engaging in inappropriate behavior with minors often receive lenient sentences. Let us consider the actions of David Schwantes. Schwantes, an elementary school teacher, engaged in predatory behavior by forcing boys to engage in inappropriate touching. He manipulated the boys with a disturbing level of expertise. It is important to note that child molesters often employ manipulative tactics due to their awareness of the wrongness of their actions. In the case of Schwantes, he was convicted of sexually abusing two children, although more victims may exist. Despite the severity of his crimes, he received a relatively short two-year sentence and was even able to maintain his retirement benefits. It has been a year since Schwantes was sentenced, and it is my opinion that he should face a more appropriate and stricter punishment.",,837.0
"You pretty much wrote my campaign theme ; ) We must get out of the megaproject business , and the dozens of State-created `` development '' and `` economic '' corporations that go with them . The State 's involvement with most megaprojects should be limited to conducting public meetings , reviewing/approving plans , making sure regulations are followed , helping work through property or inter-agency issues , and negotiating simple oil/mineral extraction rates that make private enterprise determine whether it is feasible ( or not ) for their investment . John Z , underdog East Anchorage candidate for State House .",toxicity,['underdog'],Political,Slightly Biased,x,"""We should prioritize moving away from the megaproject industry and the numerous state-controlled ""development"" and ""economic"" organizations associated with it. The state's role in megaprojects should mainly be limited to facilitating public meetings, reviewing and approving plans, ensuring compliance with regulations, addressing property or inter-agency concerns, and negotiating fair oil/mineral extraction rates. This will allow private enterprises to make informed decisions regarding their investments. I am John Z, an underdog candidate for the State House representing East Anchorage.""",,620.0
"@ mitchelmusso Hey , I 'm screaming at you",ageism,['screaming'],Confirmation,Slightly Biased,x,"Hey, I'm excited to see you!",,42.0
"Say it is not so please . If any or most of what the brain dead Chuck , and Judy show say is true , then it is just another example of how useless the republicans are starting with Ryan and ending with McCain . Talk about a bunch of bums . As a wounded Vietnam Veteran to think of all the great men and women who gave their youth , and lives to end up having these people run the country is sickening . Illegals receive better treatment than Veterans in all areas starting with health care and down the list . Wonder what the likes of Bill de Blaiso and the other sanctuary mayors would do to me if I committed a crime . Would they give me sanctuary and keep me out of jail as they do all the illegals ? The brave people I knew who",toxicity,"['sickening', 'useless', 'illegals']",Criminal record discrimination,Highly Biased,x,"

Let's hope that the information from Chuck and Judy show is thoroughly verified before drawing conclusions. It's essential to consider multiple perspectives on the matter, regardless of political affiliations. As a wounded Vietnam Veteran, it is disheartening to see how some issues are handled, and it is natural to be concerned about the treatment of veterans compared to others, including illegal immigrants. Evaluating the actions of politicians and their impact on various groups is crucial in ensuring fair treatment and upholding the values that so many brave individuals fought for.",,731.0
Why whine ? Oh you mean like how Republicans politely and quietly cooperated with Obama over the last 8 years ?,toxicity,['whine'],News Media,Slightly Biased,x,"Why complain? Oh, you mean like how Republicans respectfully and peacefully worked with Obama during the previous 8 years?",,111.0
"I would have to say , that there 's a definite flavour of hypocritical double standards involved when you demand that men reject their masculinity in order to become what you perceive as the ultimate ideal of what a man should be ; namely , somebody who is weak , subservient , and vulnerable without recourse . There is no more reason to criticize femininity than there is to criticize masculinity , and both men and women are much more roundly criticized when you address their personal choices and values . There is this concept known as the Golden Mean , and it exists in a male and female context . The ideal man is strong , protective , and capable . Female empowerment is in a sense a pursuit of the male ideal . The further you separate gender from character traits , the more you have to jump",toxicity,"['subservient', 'hypocritical', 'vulnerable', 'criticize', 'criticized']",Gender identity,Highly Biased,x,"I would have to say that there is a definite presence of inconsistent expectations when it is demanded that individuals reject certain aspects of their gender identity to conform to a specific ideal. There should be no reason to criticize either femininity or masculinity. It is important to recognize that both men and women are subject to criticism when their personal choices and values are brought into question. It is essential to understand that qualities such as strength, protectiveness, and capability can be present in individuals of any gender. The pursuit of empowerment should not be about conforming to a specific gender stereotype, but rather about embracing and celebrating the unique qualities that each individual possesses.",,801.0
My Facebook friend David Nabham has been saying this for quite some time and has published two books on the subject . He is generally regarded as a kook by the scientific community . But why would n't magma be affected by the moon the same as the oceans ?,toxicity,['kook'],Climate change,Slightly Biased,x,"My Facebook friend David Nabham has been expressing this idea for a while and has written two books about it. He is not widely accepted by the scientific community. However, is there a reason why magma wouldn't be influenced by the moon like the oceans are?",,255.0
aarrrgghh .. seraching for a new blog template can be so frustrating,ageism,['frustrating'],Transphobia,Slightly Biased,x,Searching for a new blog template can be quite challenging and time-consuming.,,68.0
